10 2 100
1 0.1831345328 0.3781564290 1
0 0.2218120746 0.5979096334 0
1 0.5065374461 0.5970846611 1
1 0.3584109782 0.8464013171 0
0 0.0631443521 0.2769754157 1
0 0.3842261887 0.5411909818 1
1 0.6598775555 0.9824955249 0
0 0.1203187306 0.9760583782 0
1 0.0574770754 0.5120366643 1
1 0.1750672010 0.6702094585 1
0 0.4682678909 0.8848194533 0
0 0.4208286035 0.8583008302 0
1 0.8322918065 0.9510245514 0
0 0.4899716557 0.5421190173 1
0 0.0329628816 0.2982154118 1
1 0.2724613567 0.4150040014 1
0 0.1466096937 0.9741787371 1
1 0.1987442848 0.8547391051 1
0 0.1903460921 0.5134893325 0
1 0.4136222513 0.4867698664 0
1 0.5159293688 0.7631391992 0
0 0.0180714043 0.5652295623 1
0 0.3423451473 0.3702542962 0
0 0.2933745920 0.5355735517 0
0 0.3611551232 0.4656708510 0
0 0.2348357964 0.4070177349 1
0 0.2264497393 0.4162958914 1
1 0.0600691530 0.6990810254 1
0 0.4506709937 0.8597638673 1
0 0.2560935829 0.7553317839 0
1 0.1362698900 0.6671056521 1
0 0.8059261651 0.8923069632 1
0 0.1015437785 0.2000100069 1
1 0.0087889836 0.6762231205 0
1 0.0524061222 0.0650132857 1
1 0.3039256997 0.3853680869 0
0 0.4043845038 0.7164120746 1
0 0.3308149798 0.6140908279 1
0 0.0907175163 0.7733642931 0
1 0.0085743173 0.2832955797 0
1 0.0037285622 0.2134267014 0
1 0.6982996500 0.8748977126 1
1 0.1744900868 0.7296845063 0
0 0.2383350541 0.8661928578 1
1 0.6903980744 0.7416295344 1
0 0.1037784171 0.3436407988 1
0 0.0399583870 0.8025061916 0
1 0.1079504949 0.2511133493 1
1 0.1327116332 0.4471151804 0
0 0.6781963677 0.7090015730 0
1 0.3707841430 0.7833218503 1
1 0.3391006898 0.8205818773 1
0 0.5997518425 0.8470735548 0
1 0.0547745805 0.3729975172 0
1 0.7541827578 0.9705205487 1
1 0.2497780381 0.9397814024 1
0 0.2097792935 0.6493450662 0
1 0.3757578598 0.5164935808 1
1 0.3024156416 0.4329067944 1
1 0.2486189171 0.2917521649 0
0 0.1456825776 0.4039228934 1
0 0.0424930827 0.1592917956 0
0 0.1778139059 0.3068101947 1
1 0.1708092709 0.2315966085 1
0 0.3279798990 0.8932414403 0
0 0.0796813036 0.2981809451 1
1 0.6088899231 0.7130788266 0
1 0.4656736959 0.9095498886 1
0 0.2874154051 0.3198134660 1
0 0.0593559570 0.1398805338 0
1 0.0630129146 0.3540031477 0
0 0.5492071375 0.5616626764 1
1 0.2013145890 0.5283738634 0
0 0.6536061818 0.6662168530 1
1 0.1947502235 0.5544861832 0
0 0.2092809140 0.3932774348 0
1 0.1209873858 0.7077863179 0
1 0.8221848205 0.9745853062 1
0 0.7517171830 0.9166633597 1
1 0.8065807193 0.9366976817 1
1 0.1807219066 0.5530998110 0
0 0.1361329636 0.6021495657 0
0 0.6607234033 0.6799325448 0
1 0.4657336165 0.7314173575 1
1 0.6217828864 0.9852664157 1
0 0.1886556862 0.6263046983 1
1 0.1483982915 0.4910367381 1
0 0.1475202988 0.3005184624 0
1 0.3557147397 0.8842493871 1
1 0.4843863250 0.8504518542 1
1 0.4921291045 0.8068876230 1
0 0.1876371795 0.7707700419 0
1 0.7728895125 0.9762022223 1
1 0.4709269822 0.8985328466 0
1 0.0491907176 0.3748952779 0
1 0.2766506212 0.5325280558 0
1 0.5392164728 0.9943603604 1
1 0.1674361384 0.4450296459 0
0 0.5607062934 0.7279361259 1
0 0.0886989324 0.6875390024 0
